name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Lagos,Nigeria",2021-09-15,30,24.1,26.2,36.2,24.1,27.6,23.1,83.5,0.1,100,4.17,rain,0,0,22.3,18.4,225.5,1014.2,61.9,9.6,226.9,19.7,8,,2021-09-15T06:36:56,2021-09-15T18:46:13,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,65203099999,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-16,31,23.8,27,37.9,23.8,29.9,24,84.3,2,100,4.17,rain,0,0,22.3,18.4,247.7,1014.7,49.7,9.8,164.8,14.3,6,,2021-09-16T06:36:45,2021-09-16T18:45:41,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-17,29.8,25,27,35.6,25,29.4,24.5,86.6,0.6,100,8.33,rain,0,0,20.5,20.5,249,1013.8,62.4,9.5,103.4,8.9,3,,2021-09-17T06:36:34,2021-09-17T18:45:09,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-18,31,24.8,26.8,39.5,24.8,29.1,24.8,89,1,100,4.17,rain,0,0,16.6,18.4,238,1013,57.5,10.4,147.5,12.6,5,,2021-09-18T06:36:24,2021-09-18T18:44:37,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-19,31.2,24.9,27.7,37.8,24.9,30.8,24.3,82.5,0,0,0,,0,0,22.3,20.5,228.6,1013,52.3,10,168.3,14.6,6,,2021-09-19T06:36:13,2021-09-19T18:44:06,0.49,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999"
"Lagos,Nigeria",2021-09-20,29,24,26.7,33.6,24,28.5,24.1,86,0.9,100,8.33,rain,0,0,20.5,16.6,244.7,1012.7,54.8,9.7,119.8,10.4,5,,2021-09-20T06:36:02,2021-09-20T18:43:34,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999"
"Lagos,Nigeria",2021-09-21,30,25,26.8,35.3,25,28.2,24.2,86.1,2,100,4.17,rain,0,0,31.7,29.5,223.5,1012.6,59.1,9.5,173.5,15.1,7,,2021-09-21T06:35:51,2021-09-21T18:43:02,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VRJU8,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-22,31,23,25.7,37.4,23,26.8,23.8,90,4,100,4.17,rain,0,0,18.4,38.9,204.7,1013.1,68.7,9.6,121.7,10.5,4,,2021-09-22T06:35:41,2021-09-22T18:42:30,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,VRJT5,65201099999"
"Lagos,Nigeria",2021-09-23,31,23,26.3,35.1,23,27.6,23.3,85.7,21,100,8.33,rain,0,0,16.6,38.9,218.7,1013.1,48.8,9.5,230.3,19.7,8,,2021-09-23T06:35:30,2021-09-23T18:41:58,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VRJU8,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-24,29.4,24.8,26.9,35.1,24.8,29.1,24.5,87.3,1,100,8.33,rain,0,0,24.1,22.3,212.9,1013.4,57,9.8,120.3,10.5,5,,2021-09-24T06:35:20,2021-09-24T18:41:27,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-25,31,22.5,25.6,37.7,22.5,26.9,23.4,88.1,81,100,4.17,rain,0,0,25.9,17.5,234.3,1013.7,55,9.9,118.7,10.1,4,,2021-09-25T06:35:10,2021-09-25T18:40:55,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-26,32,22,26.7,37.9,22,29.3,23.1,81.7,1,100,12.5,rain,0,0,22.3,18.4,165.6,1013.3,45.2,8.5,230.9,20,8,,2021-09-26T06:34:59,2021-09-26T18:40:24,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-27,30,25,27.1,36.2,25,29.6,24.1,83.9,0.6,100,4.17,rain,0,0,29.5,27.7,212.3,1012.7,52.1,9.8,263.6,22.9,9,,2021-09-27T06:34:50,2021-09-27T18:39:53,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-28,31.4,23,26.5,37.4,23,28.6,23.7,84.9,1.4,100,37.5,rain,0,0,22.3,37.1,213.9,1013,44.1,10.3,267.8,23.3,9,,2021-09-28T06:34:40,2021-09-28T18:39:22,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-29,31,24,27.3,37.3,24,30.1,24,82.8,0,0,0,,0,0,33.5,29.5,218.2,1012,56.2,9.6,234.4,20.2,8,,2021-09-29T06:34:30,2021-09-29T18:38:52,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-09-30,29,24.7,26.3,34.8,24.7,28.2,24.5,89.8,4,100,4.17,rain,0,0,20.5,16.6,248.5,1012.5,54.3,8.8,110.4,9.5,3,,2021-09-30T06:34:21,2021-09-30T18:38:22,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-01,29.6,24.7,26.5,35.5,24.7,28.2,24.7,89.9,3,100,8.33,rain,0,0,16.6,14.8,236.4,1013.4,56.4,9.6,103.3,9,4,,2021-10-01T06:34:12,2021-10-01T18:37:52,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-02,31,24,27.3,39.1,24,30.4,24.7,86.4,0,0,0,,0,0,27.7,24.1,242.8,1012.1,56.8,9.6,126.4,11.2,5,,2021-10-02T06:34:03,2021-10-02T18:37:22,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-03,31.1,24.8,27.2,38,24.8,30,24.9,87.7,1,100,33.33,rain,0,0,16.6,18.7,244.9,1012.7,62,9.8,129.6,11.2,4,,2021-10-03T06:33:55,2021-10-03T18:36:53,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-04,32.1,13.5,25.8,39.3,13.5,29.2,22.2,81.1,3,100,66.67,rain,0,0,27.7,55.4,196.6,1017.6,55.7,13.3,222.4,19.1,8,,2021-10-04T06:33:47,2021-10-04T18:36:24,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"DNMM,remote,VRJT5,65201099999"
"Lagos,Nigeria",2021-10-05,31,23.9,27.6,37.7,23.9,30.8,24.5,84.1,0,0,0,,0,0,16.6,18.4,209.8,1011.9,57.5,9.7,177.3,15.1,6,,2021-10-05T06:33:39,2021-10-05T18:35:55,1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-06,29,24.9,26.8,35,24.9,29,24.7,88.7,1,100,4.17,rain,0,0,22.3,18.4,231.9,1012.4,54.4,9.3,87.9,7.7,3,,2021-10-06T06:33:31,2021-10-06T18:35:27,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,remote,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-07,31,23.1,26.8,37.7,23.1,29.3,24,85.4,0,0,0,,0,0,20.5,16.6,224.4,1011.8,56.3,9.6,206.9,17.9,7,,2021-10-07T06:33:24,2021-10-07T18:34:59,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-08,33,23.5,27.4,42.1,23.5,30.7,24.5,84.7,0,0,0,,0,0,20.5,16.6,223.9,1010.4,53.3,9.7,277.5,23.9,10,,2021-10-08T06:33:17,2021-10-08T18:34:32,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-09,29,24.8,26.7,35.6,24.8,29.1,25.1,91.3,30,100,4.17,rain,0,0,22.3,22.3,244.4,1011.4,65.2,9.7,91.3,7.7,3,,2021-10-09T06:33:11,2021-10-09T18:34:05,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-10,32,24,27.3,40.6,24,30.5,24.7,86.6,5,100,4.17,rain,0,0,22.3,18.4,223,1012.3,62.3,9.2,118.7,10.3,4,,2021-10-10T06:33:05,2021-10-10T18:33:38,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VRJU8,DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-11,32,24,27.7,40.6,24,31,25,85.8,2,100,4.17,rain,0,0,16.6,16.6,240.3,1012.6,58.2,9.8,185.7,16,7,,2021-10-11T06:33:00,2021-10-11T18:33:12,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,65201099999,VRJT5"
"Lagos,Nigeria",2021-10-12,32,23,27.2,44,23,31.2,24.8,87.6,17,100,4.17,rain,0,0,18.4,27.7,219.3,1011.5,43.8,8.9,79.4,6.8,3,,2021-10-12T06:32:55,2021-10-12T18:32:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,VRJU8,DNMM,65201099999"
